WILAYA_CLEAN,COMMUNE_CLEAN,ZONE_RPA,capital_total,nb_polices,dommage_total,risque_moyen,proba_moyenne,CLASSE_COMMUNE
EL TAREF,TARF,Inconnu,14665000.0,5,733250.0,0.0,0.0,SOUCONCENTRATION ✅
GHARDAIA,BERRIANE,0,532280.0,1,5323.0,0.0,0.0,SOUCONCENTRATION ✅
GHARDAIA,EL ATTEUF,0,672000.0,1,6720.0,0.0,0.0,SOUCONCENTRATION ✅
GHARDAIA,GHARDAIA,0,81816000.0,32,818160.0,0.0,0.0,SOUCONCENTRATION ✅
GUELMA,GUELAAT BOUSBAA,Inconnu,6545000.0,1,327250.0,0.0,0.0,SOUCONCENTRATION ✅
GUELMA,GUELMA,Inconnu,60045160.0,4,3002258.0,0.0,0.0,SOUCONCENTRATION ✅
GUELMA,MESAOUD BOUDJERIOU,Inconnu,3800000.0,1,190000.0,0.0,0.0,SOUCONCENTRATION ✅
GUELMA,NECHMAYA,Inconnu,4528350.0,2,226418.0,0.0,0.0,SOUCONCENTRATION ✅
GUELMA,OUED ZENATI,Inconnu,7000000.0,2,350000.0,0.0,0.0,SOUCONCENTRATION ✅
IN GUEZZAM,IN GUEZZAM,Inconnu,128412000.0,13,6420600.0,0.0,0.0,SOUCONCENTRATION ✅
IN GUEZZAM,TIN ZAOUATINE,Inconnu,1400000.0,2,70000.0,0.0,0.0,SOUCONCENTRATION ✅
INCONNU,AIN LAGRADJ,Inconnu,2000000.0,1,100000.0,0.0,0.0,SOUCONCENTRATION ✅
INCONNU,AIN TURK,Inconnu,1000000.0,1,50000.0,0.0,0.0,SOUCONCENTRATION ✅
INCONNU,AIN TURK BOUIRA,Inconnu,4200000.0,1,210000.0,0.0,0.0,SOUCONCENTRATION ✅
INCONNU,BEN KHELIL,Inconnu,1175000.0,1,58750.0,0.0,0.0,SOUCONCENTRATION ✅
INCONNU,BENI FOUDA,Inconnu,1750000.0,1,87500.0,0.0,0.0,SOUCONCENTRATION ✅
INCONNU,BENI OUARTILANE,Inconnu,2000000.0,1,100000.0,0.0,0.0,SOUCONCENTRATION ✅
INCONNU,BIR EL DJIR,Inconnu,10338000.0,5,516900.0,0.0,0.0,SOUCONCENTRATION ✅
INCONNU,BORDJ BOU ARRERIDJ,Inconnu,6720000.0,2,336000.0,0.0,0.0,SOUCONCENTRATION ✅
INCONNU,BOU ISMAIL,Inconnu,2000000.0,1,100000.0,0.0,0.0,SOUCONCENTRATION ✅
INCONNU,BOUHAROUN,Inconnu,2000000.0,1,100000.0,0.0,0.0,SOUCONCENTRATION ✅
INCONNU,BOUINAN,Inconnu,3230000.0,1,161500.0,0.0,0.0,SOUCONCENTRATION ✅
INCONNU,BOUMERDES,Inconnu,2745500.0,1,137275.0,0.0,0.0,SOUCONCENTRATION ✅
INCONNU,CHEKFA,Inconnu,18600000.0,1,930000.0,0.0,0.0,SOUCONCENTRATION ✅
INCONNU,CHERCHEL,Inconnu,3033540.0,1,151677.0,0.0,0.0,SOUCONCENTRATION ✅
INCONNU,CONSTANTINE,Inconnu,4508520.0,2,225426.0,0.0,0.0,SOUCONCENTRATION ✅
INCONNU,EMIR ABDELKADER,Inconnu,1116000.0,1,55800.0,0.0,0.0,SOUCONCENTRATION ✅
INCONNU,ES SENIA,Inconnu,3500000.0,1,175000.0,0.0,0.0,SOUCONCENTRATION ✅
INCONNU,FERRAOUN,Inconnu,1000000.0,1,50000.0,0.0,0.0,SOUCONCENTRATION ✅
INCONNU,FOUKA,Inconnu,1000000.0,1,50000.0,0.0,0.0,SOUCONCENTRATION ✅
INCONNU,GDYEL,Inconnu,2205000.0,1,110250.0,0.0,0.0,SOUCONCENTRATION ✅
INCONNU,HAMMA BOUZIANE,Inconnu,1000000.0,1,50000.0,0.0,0.0,SOUCONCENTRATION ✅
INCONNU,INCONNU,Inconnu,3000000.0,1,150000.0,0.0,0.0,SOUCONCENTRATION ✅
INCONNU,JIJEL,Inconnu,451050.0,1,22552.0,0.0,0.0,SOUCONCENTRATION ✅
INCONNU,KAOUS,Inconnu,2254630.0,1,112732.0,0.0,0.0,SOUCONCENTRATION ✅
INCONNU,KHENCHELA,Inconnu,12005490.0,5,600274.0,0.0,0.0,SOUCONCENTRATION ✅
INCONNU,MAATKA,Inconnu,2520000.0,2,126000.0,0.0,0.0,SOUCONCENTRATION ✅
INCONNU,MAHELMA,Inconnu,4800000.0,2,240000.0,0.0,0.0,SOUCONCENTRATION ✅
INCONNU,ORAN,Inconnu,5058590.0,3,252930.0,0.0,0.0,SOUCONCENTRATION ✅
INCONNU,OUDJANA,Inconnu,2790000.0,1,139500.0,0.0,0.0,SOUCONCENTRATION ✅
INCONNU,SETIF,Inconnu,2100000.0,1,105000.0,0.0,0.0,SOUCONCENTRATION ✅
INCONNU,SIDI MAKHLOUF,Inconnu,1240000.0,1,62000.0,0.0,0.0,SOUCONCENTRATION ✅
INCONNU,SIDI RACHED,Inconnu,3000000.0,1,150000.0,0.0,0.0,SOUCONCENTRATION ✅
INCONNU,TAHER,Inconnu,7440000.0,2,372000.0,0.0,0.0,SOUCONCENTRATION ✅
INCONNU,TAMANRASSET,Inconnu,11760000.0,3,588000.0,0.0,0.0,SOUCONCENTRATION ✅
INCONNU,TIPAZA,Inconnu,2795660.0,1,139783.0,0.0,0.0,SOUCONCENTRATION ✅
